"DIRECTORIO","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN","P51","P771","P772","P773","P55","P774","P774S1","P774S2","P774S3","P775","P776","P776S1","P776S2","P776S3","P58","P58S1","P58S2","P777","P778","P779","P779S1","P779S1A1","P779S2","P779S2A1","P779S3","P779S3A1","P779S11","P779S11A1","P779S12","P779S12A1","P779S5","P779S5A1","P779S6","P779S6A1","P779S7","P779S7A1","P779S8","P779S8A1","P779S13","P779S13A1","P779S9","P779S9A2","P779S14","P780","P780S2","P780S2A1","P780S3","P780S3A1","P780S4","P780S4A1","LLAVEHOG","FEX_C"
6000001,3,1,3,1,1.79769313486232e+308,1.79769313486232e+308,1,1,3,1.79769313486232e+308,1.79769313486232e+308,3000,1,3,1.79769313486232e+308,1.79769313486232e+308,1500,1,"2",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,"60000011",2866.07522374918
6000003,7,1,7,1,1.79769313486232e+308,1.79769313486232e+308,3,1,3,1.79769313486232e+308,1.79769313486232e+308,2000,1,3,1.79769313486232e+308,1.79769313486232e+308,1000,1,"2",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,"60000031",2870.01398177933
6000008,5,1,5,1,1.79769313486232e+308,1.79769313486232e+308,1,1,3,1.79769313486232e+308,1.79769313486232e+308,6000,1,3,1.79769313486232e+308,1.79769313486232e+308,2000,1,"1",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,"60000081",2270.38111641433
6000009,3,1,3,2,2,4,1.79769313486232e+308,1,4,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,4,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,"2",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,"60000091",2273.21683985532
6000011,5,1,5,2,2,5,1.79769313486232e+308,1,4,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,4,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,"2",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,1,1.79769313486232e+308,1.79769313486232e+308,1,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,"60000111",2206.31376084916
6000026,4,1,4,2,2,4,1.79769313486232e+308,1,4,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,4,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,"2",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,"60000261",214.96401688913
6000036,6,1,6,2,2,3,1.79769313486232e+308,1,4,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,4,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,"5",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,2,1,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,"60000361",854.994353526318
6000036,7,1,7,3,2,3,1.79769313486232e+308,1,4,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,4,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,"5",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,"60000361",854.994353526318
6000037,3,1,3,1,1.79769313486232e+308,1.79769313486232e+308,1,1,4,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,4,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,"2",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,3,1.79769313486232e+308,1.79769313486232e+308,1,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,"60000371",399.24241311402
6000043,4,1,4,1,1.79769313486232e+308,1.79769313486232e+308,5,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,"2",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,2,1,2,1,2,1,1,1.79769313486232e+308,1.79769313486232e+308,1,1,1,2,1,1,1,2,1,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,"60000431",2446.56883372698
