"DIRECTORIO","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN","P784S4A2","P784S4A3","P784S4A4","LLAVEHOG","FEX_C"
6000195,1,1,1,"VICTIMAS DE CONFLICTO ARMADO",1,1300000,"60001951",2989.71458119553
6000447,1,1,1,"JOVENES EN ACCION",1,800000,"60004471",1114.48216079821
6000522,1,1,1,"DESPLAZADOS",1,800000,"60005221",293.649353735434
6000686,1,1,1,"AYUDA HUMANITARIA",1,800000,"60006861",551.825786325586
6000700,1,1,1,"SUBSIDIO DESPLAZAMIENTO",1,720000,"60007001",529.539206216013
6000735,1,1,1,"DESPLAZAMIENTO",1,540000,"60007351",588.809557639254
6000738,1,1,1,"DESPLAZADOS",1,785000,"60007381",490.349985389294
6000773,1,1,1,"DESPLAZADO",1,615000,"60007731",2010.99583623559
6000886,1,1,1,"FAMILIAS EN SU TIERRA",1,5000000,"60008861",1855.28321936492
6000896,1,1,1,"ACCION SOCIAL AYUDA HUMANITARIA",3,2180000,"60008961",1652.33300267526
6000896,2,1,2,"FAMILIAS EN SU TIERRA",1,430000,"60008961",1652.33300267526
6000907,1,1,1,"VICTIMIZACION",1,400000,"60009071",2376.39639516993
6000908,1,1,1,"AYUDA HUMANITARIA",1,1200000,"60009081",2262.1614317284
6000916,1,1,1,"VICTIMIZACION",1,1500000,"60009161",3007.59207689116
6000943,1,1,1,"AYUDA HUMANITARIA DESPLAZADOS",1,1700000,"60009431",668.901465880491
6000947,1,1,1,"AYUDA HUMANITARIA DESPLAZADOS",1,900000,"60009471",480.971666470214
6000950,1,1,1,"AYUDA HUMANITARIA DESPLAZADOS",4,400000,"60009501",790.742225160708
6000959,1,1,1,"JOVENES EN ACCION",1,1200000,"60009591",2009.57284163488
6000982,1,1,1,"DESPLAZADO",1,600000,"60009821",1729.19642772912
6001007,1,1,1,"SUBSIDIO DE TRASPORTE",1,60000,"60010071",1291.02856952541
6001076,1,1,1,"AYUDA HUMANITARIA",4,180000,"60010761",1426.74854050741
6001155,1,1,1,"JOVENES EN ACCION",2,3200000,"60011551",2168.60144326597
6001337,1,1,1,"PROGRAMA DE LA TERCERA EDAD SALUD VIDA ALIMENTACION DESAYUNO ALMUERZO",1,1000000,"60013371",234.556882103405
6001354,1,1,1,"JOVENES EN ACCION",1,1600000,"60013541",2920.31735307817
6001421,1,1,1,"CONCERT UNIVERSAL",1,40000,"60014211",391.007433346301
6001424,1,1,1,"DESSARROLLO INFANTIL EN MEDIO FAMILIAR",1,300000,"60014241",315.307561578763
6001508,1,1,1,"AGUAS DE DIOS",1,3600000,"60015081",137.566814888882
