"DIRECTORIO","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN","P784S1A3","LLAVEHOG","FEX_C"
6000000,1,1,1,6,"60000001",2246.29287409386
6000008,1,1,1,3,"60000081",2270.38111641433
6000008,2,1,2,4,"60000081",2270.38111641433
6000026,1,1,1,3,"60000261",214.96401688913
6000026,2,1,2,4,"60000261",214.96401688913
6000027,1,1,1,3,"60000271",273.77427720977
6000027,2,1,2,4,"60000271",273.77427720977
6000027,2,2,2,4,"60000272",273.77427720977
6000027,1,2,1,3,"60000272",273.77427720977
6000030,1,1,1,3,"60000301",343.489658902536
6000030,2,1,2,4,"60000301",343.489658902536
6000032,1,1,1,3,"60000321",1509.67559523903
6000048,1,1,1,4,"60000481",2119.93108914143
6000053,1,1,1,2,"60000531",2347.70059775214
6000062,1,1,1,2,"60000621",2510.6403761422
6000063,1,1,1,3,"60000631",2782.64520154823
6000064,1,1,1,4,"60000641",2330.55389726967
6000069,1,1,1,4,"60000691",160.236074023735
6000069,2,1,2,5,"60000691",160.236074023735
6000071,1,1,1,2,"60000711",282.716162215482
6000071,2,1,2,4,"60000711",282.716162215482
6000071,3,1,3,5,"60000711",282.716162215482
6000071,4,1,4,6,"60000711",282.716162215482
6000071,5,1,5,8,"60000711",282.716162215482
6000077,1,1,1,3,"60000771",445.602682790059
6000077,2,1,2,4,"60000771",445.602682790059
6000090,1,1,1,3,"60000901",393.201353486926
6000091,1,1,1,5,"60000911",1570.98855946625
6000091,2,1,2,6,"60000911",1570.98855946625
6000109,1,1,1,6,"60001091",2168.89721998695
6000110,1,1,1,2,"60001101",1571.11655241402
6000110,2,1,2,3,"60001101",1571.11655241402
6000128,1,1,1,3,"60001281",2072.99402227519
6000133,1,1,1,1,"60001331",4594.07481491396
6000152,1,1,1,3,"60001521",442.206118403276
6000152,2,1,2,4,"60001521",442.206118403276
6000156,1,1,1,4,"60001561",470.501024635991
6000166,1,1,1,5,"60001661",727.049317096293
6000184,1,1,1,3,"60001841",2890.36837180212
6000185,1,1,1,2,"60001851",3113.14305543326
6000185,2,1,2,3,"60001851",3113.14305543326
6000185,3,1,3,4,"60001851",3113.14305543326
6000188,1,1,1,3,"60001881",3430.52344946929
6000188,2,1,2,4,"60001881",3430.52344946929
6000188,3,1,3,7,"60001881",3430.52344946929
6000192,1,1,1,5,"60001921",3330.91859708949
6000192,2,1,2,6,"60001921",3330.91859708949
6000193,1,1,1,3,"60001931",2289.01916195589
6000193,2,1,2,4,"60001931",2289.01916195589
6000195,1,1,1,3,"60001951",2989.71458119553
6000203,1,1,1,2,"60002031",163.75671762972
6000207,1,1,1,3,"60002071",558.445678859727
6000207,2,1,2,4,"60002071",558.445678859727
6000207,3,1,3,5,"60002071",558.445678859727
