"DIRECTORIO","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN","P8692S3A1","LLAVEHOG","FEX_C"
6000035,1,1,1,1,"60000351",1041.98126324301
6000035,2,1,2,2,"60000351",1041.98126324301
6000047,1,1,1,1,"60000471",2814.52958604635
6000047,2,1,2,2,"60000471",2814.52958604635
6000055,1,1,1,1,"60000551",1844.38940895651
6000055,2,1,2,2,"60000551",1844.38940895651
6000063,1,1,1,1,"60000631",2782.64520154823
6000063,2,1,2,2,"60000631",2782.64520154823
6000073,1,1,1,1,"60000731",246.492172233645
6000073,2,1,2,2,"60000731",246.492172233645
6000075,1,1,1,1,"60000751",445.602682790059
6000075,2,1,2,2,"60000751",445.602682790059
6000075,3,1,3,3,"60000751",445.602682790059
6000075,4,1,4,4,"60000751",445.602682790059
6000087,1,1,1,1,"60000871",304.57616603319
6000087,2,1,2,2,"60000871",304.57616603319
6000087,3,1,3,3,"60000871",304.57616603319
6000089,1,1,1,1,"60000891",475.898369796805
6000089,2,1,2,2,"60000891",475.898369796805
6000174,1,1,1,1,"60001741",250.279224075838
6000174,2,1,2,2,"60001741",250.279224075838
6000175,1,1,1,1,"60001751",279.572285027584
6000175,2,1,2,2,"60001751",279.572285027584
6000175,3,1,3,3,"60001751",279.572285027584
6000213,1,1,1,1,"60002131",605.775653660833
6000213,2,1,2,2,"60002131",605.775653660833
6000215,1,1,1,1,"60002151",363.580700960471
6000215,2,1,2,2,"60002151",363.580700960471
6000258,1,1,1,1,"60002581",256.267569161402
6000258,2,1,2,2,"60002581",256.267569161402
6000280,1,1,1,1,"60002801",168.478040825448
6000280,2,1,2,4,"60002801",168.478040825448
6000280,3,1,3,6,"60002801",168.478040825448
6000307,1,1,1,1,"60003071",492.912269257425
6000307,2,1,2,2,"60003071",492.912269257425
6000311,1,1,1,2,"60003111",810.751598230217
6000311,2,1,2,3,"60003111",810.751598230217
6000311,1,2,1,2,"60003112",810.751598230217
6000311,2,2,2,3,"60003112",810.751598230217
6000317,1,1,1,1,"60003171",313.701625358948
6000317,2,1,2,2,"60003171",313.701625358948
6000322,1,1,1,1,"60003221",596.926258223017
6000322,2,1,2,2,"60003221",596.926258223017
6000323,1,1,1,1,"60003231",634.94351460728
6000323,2,1,2,2,"60003231",634.94351460728
6000328,1,1,1,1,"60003281",657.182967148796
6000328,2,1,2,3,"60003281",657.182967148796
6000331,1,1,1,1,"60003311",646.383597582769
6000331,2,1,2,2,"60003311",646.383597582769
6000374,1,1,1,1,"60003741",627.514600891126
6000374,2,1,2,2,"60003741",627.514600891126
6000374,3,1,3,3,"60003741",627.514600891126
6000374,4,1,4,4,"60003741",627.514600891126
6000374,5,1,5,5,"60003741",627.514600891126
6000385,1,1,1,1,"60003851",548.585486787888
6000385,2,1,2,2,"60003851",548.585486787888
6000403,1,1,1,1,"60004031",359.474216213966
6000403,2,1,2,2,"60004031",359.474216213966
6000443,1,1,1,1,"60004431",1073.55785113209
6000443,2,1,2,4,"60004431",1073.55785113209
6000451,1,1,1,1,"60004511",1114.48216079821
6000451,2,1,2,2,"60004511",1114.48216079821
6000452,1,1,1,1,"60004521",880.183353659656
6000452,2,1,2,2,"60004521",880.183353659656
6000452,3,1,3,3,"60004521",880.183353659656
6000457,1,1,1,1,"60004571",921.686968291362
6000457,2,1,2,2,"60004571",921.686968291362
6000457,3,1,3,3,"60004571",921.686968291362
6000457,4,1,4,4,"60004571",921.686968291362
6000459,1,1,1,1,"60004591",1278.82533787573
6000459,2,1,2,2,"60004591",1278.82533787573
6000459,3,1,3,3,"60004591",1278.82533787573
6000459,4,1,4,4,"60004591",1278.82533787573
6000459,5,1,5,5,"60004591",1278.82533787573
6000460,1,1,1,1,"60004601",670.043149651708
6000460,2,1,2,2,"60004601",670.043149651708
6000461,1,1,1,1,"60004611",1162.93243382557
6000461,2,1,2,2,"60004611",1162.93243382557
6000461,3,1,3,3,"60004611",1162.93243382557
6000461,4,1,4,4,"60004611",1162.93243382557
6000464,1,1,1,1,"60004641",702.119290178132
6000464,2,1,2,2,"60004641",702.119290178132
6000464,3,1,3,3,"60004641",702.119290178132
6000464,4,1,4,4,"60004641",702.119290178132
6000464,5,1,5,5,"60004641",702.119290178132
6000466,1,1,1,2,"60004661",921.686968291362
6000466,2,1,2,3,"60004661",921.686968291362
6000469,1,1,1,1,"60004691",1150.26127093677
6000469,2,1,2,2,"60004691",1150.26127093677
6000469,3,1,3,3,"60004691",1150.26127093677
6000469,4,1,4,4,"60004691",1150.26127093677
6000471,1,1,1,1,"60004711",793.122901352404
6000471,2,1,2,2,"60004711",793.122901352404
6000471,3,1,3,3,"60004711",793.122901352404
6000473,1,1,1,1,"60004731",952.02940010301
6000473,2,1,2,2,"60004731",952.02940010301
6000473,3,1,3,3,"60004731",952.02940010301
6000475,1,1,1,1,"60004751",1316.24461158251
6000475,2,1,2,2,"60004751",1316.24461158251
6000567,1,1,1,1,"60005671",271.603537998754
6000567,2,1,2,2,"60005671",271.603537998754
6000613,1,1,1,1,"60006131",826.60615517582
6000613,2,1,2,2,"60006131",826.60615517582
